"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product Page","Product Media & Interactions","Cart Interaction","0","0","1","0","0"
"Checkout","Order Placement","Redirect if not logged in","0","0","1","0","0"
"E-commerce","Shopping Cart","Cart Modification","0","0","1","0","0"
"Authentication","Login Functionality","Invalid Login","0","0","1","0","0"
"Form Validation","Submission Validations","Required Country Field","0","0","1","0","0"
"E-commerce","Shopping Cart","Cart Calculation","0","0","3","0","0"
"Form Validation","Submission Validations","Terms Agreement Required","0","0","1","0","0"
"E-commerce","Shopping Cart","Cart UI","0","0","1","0","0"
"Checkout","Order Placement","Place order","0","0","1","0","0"
"Product Page","Product Media & Interactions","Media Validation","0","0","2","0","0"
"Dashboard","UI Behavior and Auth Redirect","Collapsible Cards","0","0","1","0","0"
"Dashboard","UI Behavior and Auth Redirect","Authentication Redirect","0","0","1","0","0"
"Dashboard","UI Behavior and Auth Redirect","User Menu","0","0","1","0","0"
"Checkout","Order Placement","Form validation","0","0","1","0","0"
"Form Validation","Submission Validations","Invalid Email & Phone","0","0","1","0","0"
"Form Validation","Submission Validations","Gender Selection Required","0","0","1","0","0"
"Responsive Design","Checkout Page Layout","Layout Adaptation","0","0","1","0","0"
"E-commerce","Shopping Cart","Checkout Flow","0","0","1","0","0"
"Dashboard","UI Behavior and Auth Redirect","Settings Interaction","0","0","1","0","0"
"Form Validation","Submission Validations","Email Uniqueness Check","0","0","1","0","0"
"Product Page","Product Media & Interactions","Manual Download","0","0","1","0","0"
"Form Validation","Submission Validations","Email Availability Check","0","0","1","0","0"
"Responsive Design","Dashboard Sidebar","Sidebar Toggle","0","0","1","0","0"
"E-commerce","Shopping Cart","Cart Persistence","0","0","1","0","0"
"Form Validation","Submission Validations","Valid Submission","0","0","1","0","0"
"Checkout","Order Placement","Empty confirmation state","0","0","1","0","0"
"Authentication","Login Functionality","Valid Login","0","0","1","0","0"
"Checkout","Order Placement","Confirmation page","0","0","1","0","0"
"E-commerce","Shopping Cart","Cart Navigation","0","0","1","0","0"
