"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 27 11:56:44 UTC 2025","Fri Jun 27 11:56:48 UTC 2025","3816","","Checkout Flow Tests","","com.demo.tests.CheckoutTests","testCheckoutRedirectsToLoginIfNotLoggedIn","Redirect to login when accessing checkout without authentication","User should be redirected to login.html when trying to access checkout.html without being logged in."
"passed","Fri Jun 27 11:57:42 UTC 2025","Fri Jun 27 11:57:44 UTC 2025","1816","","Form Input Validation Tests","","com.demo.tests.FormValidationTests","testEmailAvailableCheck","Form should confirm email availability via async check",""
"passed","Fri Jun 27 11:57:45 UTC 2025","Fri Jun 27 11:57:45 UTC 2025","230","","Form Input Validation Tests","","com.demo.tests.FormValidationTests","testInvalidEmailAndPhone","Email and phone number should be validated",""
"passed","Fri Jun 27 11:58:03 UTC 2025","Fri Jun 27 11:58:03 UTC 2025","288","","Product Page UI and Functional Tests","","com.demo.tests.ProductPageTests","testAllProductVideosArePlayableAndMuted","Product videos should be playable and muted by default",""
"passed","Fri Jun 27 11:58:03 UTC 2025","Fri Jun 27 11:58:03 UTC 2025","307","","Product Page UI and Functional Tests","","com.demo.tests.ProductPageTests","testAllProductImagesLoaded","All product images should load correctly",""
"passed","Fri Jun 27 11:57:27 UTC 2025","Fri Jun 27 11:57:31 UTC 2025","3948","","Cart Tests","","com.demo.tests.CartTests","testMultipleProductsInCart","Multiple product quantities should update subtotal and total correctly",""
"passed","Fri Jun 27 11:57:31 UTC 2025","Fri Jun 27 11:57:34 UTC 2025","3262","","Cart Tests","","com.demo.tests.CartTests","testUpdateQuantityUpdatesSubtotalAndTotal","Updating quantity updates subtotal and total",""
"passed","Fri Jun 27 11:57:44 UTC 2025","Fri Jun 27 11:57:45 UTC 2025","442","","Form Input Validation Tests","","com.demo.tests.FormValidationTests","testValidSubmission","Submit form with valid data",""
"passed","Fri Jun 27 11:56:53 UTC 2025","Fri Jun 27 11:56:59 UTC 2025","6000","","Checkout Flow Tests","","com.demo.tests.CheckoutTests","testCheckoutFailsWithEmptyFields","Checkout form validation should prevent empty submissions","Ensures users cannot proceed without filling out address and payment fields."
"passed","Fri Jun 27 11:58:06 UTC 2025","Fri Jun 27 11:58:07 UTC 2025","1343","","Login Tests","","com.demo.tests.LoginTests","testFailedLogin","Failed login with wrong credentials","Verifies that login fails and no auth_token is set for invalid credentials."
"passed","Fri Jun 27 11:57:15 UTC 2025","Fri Jun 27 11:57:19 UTC 2025","4595","","Cart Tests","","com.demo.tests.CartTests","testCheckoutButtonGoesToLoginIfNotLoggedIn","Checkout redirects to login if not authenticated",""
"passed","Fri Jun 27 11:57:15 UTC 2025","Fri Jun 27 11:57:15 UTC 2025","337","","Cart Tests","","com.demo.tests.CartTests","testSingleItemSubtotalCalculation","Single item subtotal should be price × quantity",""
"passed","Fri Jun 27 11:57:19 UTC 2025","Fri Jun 27 11:57:23 UTC 2025","3625","","Cart Tests","","com.demo.tests.CartTests","testRemoveItemEmptiesCart","Removing item should empty the cart",""
"passed","Fri Jun 27 11:57:55 UTC 2025","Fri Jun 27 11:57:57 UTC 2025","1726","","Dashboard Responsive Behavior Tests","","com.demo.tests.DashboardResponsiveTests","testSidebarToggleAndResponsive","1. Sidebar should toggle and support responsive behavior","Verifies that sidebar in dashboard expands by default, collapses on toggle, and adapts responsively."
"passed","Fri Jun 27 11:57:59 UTC 2025","Fri Jun 27 11:58:03 UTC 2025","3976","","Product Page UI and Functional Tests","","com.demo.tests.ProductPageTests","testAddToCartButtonWorks","Add to cart button should add items properly",""
"passed","Fri Jun 27 11:57:45 UTC 2025","Fri Jun 27 11:57:47 UTC 2025","1730","","Form Input Validation Tests","","com.demo.tests.FormValidationTests","testEmailUniquenessCheck","Form should detect duplicate email via async check",""
